,LEARNED,STATIC,AC,LINRS,NRS
917,3,1.0,15.0,1.0,7
405,13,2.0,6.0,137.0,19
896,10,19.0,93.0,21.0,19
173,14,1.0,20.0,9.0,9
627,250,12.0,73.0,47.0,1
454,19,44.0,16.0,26.0,1
780,1,11.0,1.0,105.0,11
490,23,14.0,31.0,15.0,29
375,1,3.0,201.0,250.0,5
466,8,7.0,63.0,79.0,6
416,9,13.0,7.0,2.0,37
72,6,16.0,16.0,78.0,5
630,1,11.0,7.0,1.0,21
796,46,8.0,16.0,196.0,1
61,10,14.0,11.0,101.0,1
359,30,23.0,26.0,250.0,1
621,10,12.0,250.0,4.0,1
153,1,1.0,46.0,250.0,7
908,28,4.0,1.0,1.0,18
255,2,20.0,29.0,231.0,9
43,11,15.0,10.0,1.0,180
880,16,19.0,10.0,16.0,133
68,1,19.0,6.0,182.0,250
377,12,13.0,9.0,55.0,150
281,30,18.0,12.0,56.0,16
661,194,1.0,8.0,1.0,42
179,23,29.0,37.0,33.0,1
314,18,9.0,12.0,20.0,56
824,7,2.0,16.0,1.0,8
438,13,1.0,73.0,58.0,16
407,12,250.0,10.0,33.0,131
784,14,8.0,9.0,14.0,10
806,14,26.0,94.0,15.0,139
87,77,7.0,21.0,1.0,16
920,14,27.0,7.0,29.0,13
856,1,10.0,1.0,3.0,250
364,37,24.0,250.0,20.0,13
741,4,1.0,60.0,15.0,1
979,12,1.0,250.0,6.0,112
185,29,18.0,24.0,14.0,49
784,14,8.0,9.0,14.0,10
171,6,31.0,19.0,1.0,8
291,18,1.0,250.0,22.0,218
894,93,14.0,8.0,92.0,16
876,3,6.0,4.0,130.0,46
2,10,1.0,49.0,25.0,10
190,1,13.0,73.0,70.0,7
73,59,15.0,93.0,7.0,10
176,11,11.0,7.0,99.0,41
677,17,20.0,23.0,70.0,2
281,30,18.0,12.0,56.0,16
325,9,10.0,10.0,13.0,14
646,24,7.0,3.0,102.0,71
442,12,7.0,23.0,18.0,6
585,27,1.0,1.0,2.0,51
15,24,9.0,19.0,13.0,11
423,1,49.0,1.0,9.0,14
218,1,25.0,9.0,104.0,16
667,1,11.0,11.0,234.0,61
711,32,14.0,7.0,1.0,12
401,1,15.0,7.0,1.0,13
735,8,1.0,35.0,3.0,250
63,12,30.0,15.0,1.0,16
962,1,13.0,7.0,8.0,230
511,28,1.0,13.0,24.0,6
753,12,3.0,250.0,5.0,132
422,2,13.0,22.0,19.0,250
772,1,8.0,1.0,37.0,1
677,17,20.0,23.0,70.0,2
851,2,32.0,1.0,9.0,100
10,228,9.0,8.0,17.0,9
856,1,10.0,1.0,3.0,250
491,24,22.0,7.0,1.0,32
272,6,13.0,15.0,14.0,35
202,12,10.0,22.0,1.0,1
480,1,4.0,36.0,1.0,38
667,1,11.0,11.0,234.0,61
925,10,8.0,62.0,21.0,1
868,25,1.0,1.0,81.0,13
68,1,19.0,6.0,182.0,250
391,8,17.0,36.0,40.0,187
431,12,27.0,4.0,16.0,1
117,73,16.0,19.0,32.0,172
129,28,8.0,22.0,1.0,104
404,10,9.0,11.0,1.0,6
340,20,18.0,8.0,1.0,89
102,15,1.0,1.0,48.0,61
173,14,1.0,20.0,9.0,9
15,24,9.0,19.0,13.0,11
162,10,6.0,14.0,24.0,55
21,15,6.0,250.0,250.0,183
297,6,18.0,4.0,55.0,1
768,13,1.0,62.0,1.0,5
732,15,1.0,63.0,10.0,1
829,12,4.0,45.0,1.0,8
157,33,8.0,1.0,250.0,2
128,1,1.0,1.0,36.0,15
591,38,1.0,19.0,13.0,18
594,14,10.0,12.0,2.0,20
853,11,54.0,9.0,34.0,1
